x	y	r	P( r )	I	SINR	SINRdB	SC	Throughput
0.17	-0.84	0.85703	8.68251e-009	1.00767e-008	0.861635	-0.646766	4.16265	3.9936
-0.38	0.4	0.551725	4.42953e-008	5.5174e-009	8.02823	9.0462	14.7385	11.9808
0.18	0.76	0.781025	1.22425e-008	8.26478e-009	1.48128	1.70636	6.08717	5.3248
0.24	0.19	0.306105	3.91753e-007	4.29732e-009	91.1613	19.5981	30.2997	19.968
0.23	0.68	0.717844	1.6727e-008	7.09035e-009	2.35911	3.72749	8.11608	7.9872
0.64	0.56	0.850412	8.93515e-009	9.93173e-009	0.899654	-0.459245	4.29806	3.9936
0.47	-0.77	0.902109	7.18245e-009	9.2693e-009	0.774861	-1.10776	3.84292	2.6624
0.82	0.01	0.820061	1.02211e-008	8.10052e-009	1.26178	1.00984	5.46678	5.3248
-0.11	-0.12	0.162788	4.05252e-006	3.97533e-009	1019.41	30.0835	46.405	19.968
0.51	-0.51	0.721249	1.64367e-008	7.25519e-009	2.2655	3.55164	7.92677	5.3248
-0.1	-0.28	0.297321	4.36308e-007	4.26947e-009	102.192	20.0942	31.0569	19.968
0.59	0.24	0.636946	2.60346e-008	6.36367e-009	4.0911	6.1184	10.9013	10.6496
0.54	0.07	0.544518	4.65034e-008	5.43647e-009	8.5539	9.32164	15.1176	11.9808
0.06	-0.51	0.513517	5.77665e-008	5.28484e-009	10.9305	10.3864	16.6056	15.964
-0.25	0.32	0.406079	1.3768e-007	4.66581e-009	29.5081	14.6994	22.8945	19.968
0.46	-0.85	0.966488	5.56548e-009	1.03033e-008	0.540162	-2.67476	2.89288	2.6624
0.22	-0.16	0.272029	6.06249e-007	4.19974e-009	144.353	21.5943	33.3516	19.968
-0.16	0.32	0.357771	2.19984e-007	4.46888e-009	49.2254	16.9219	26.2337	19.968
-0.87	0.07	0.872812	8.11567e-009	8.95367e-009	0.906403	-0.426788	4.32182	3.9936
-0.45	-0.03	0.450999	9.33858e-008	4.87597e-009	19.1521	12.8222	20.1168	19.968
-0.01	-0.65	0.650077	2.41413e-008	6.56504e-009	3.67723	5.65521	10.3334	7.9872
0.35	0.63	0.720694	1.64836e-008	6.92844e-009	2.3791	3.76413	8.15583	7.9872
0.67	0.37	0.765376	1.31945e-008	8.41127e-009	1.56866	1.9553	6.31901	5.3248
-0.91	-0.13	0.919239	6.69954e-009	1.0087e-008	0.664175	-1.77717	3.41161	2.6624
0.03	-0.15	0.152971	5.1013e-006	3.96124e-009	1287.79	31.0985	47.9691	19.968
-0.22	-0.55	0.592368	3.40519e-008	5.79495e-009	5.87609	7.69088	12.9145	11.9808
0.22	-0.27	0.348281	2.4299e-007	4.43549e-009	54.7826	17.3864	26.9367	19.968
-0.26	-0.33	0.420119	1.21409e-007	4.72943e-009	25.6708	14.0944	21.9941	19.968
-0.39	0.02	0.390512	1.59104e-007	4.59721e-009	34.6085	15.3918	23.93	19.968
-0.54	-0.49	0.729178	1.57851e-008	7.46659e-009	2.11408	3.25122	7.60875	5.3248
-0.59	0.04	0.591354	3.42683e-008	5.76409e-009	5.9451	7.74159	12.9814	11.9808
-0.34	-0.28	0.440454	1.01929e-007	4.84262e-009	21.0481	13.2321	20.7191	19.968
0.65	-0.47	0.802122	1.10928e-008	9.11718e-009	1.21668	0.851776	5.33187	5.3248
0.63	-0.62	0.883912	7.74492e-009	1.0377e-008	0.746355	-1.27055	3.73447	2.6624
0.71	-0.39	0.810062	1.06958e-008	9.44697e-009	1.13219	0.539187	5.07155	3.9936
-0.65	-0.35	0.738241	1.50798e-008	7.88029e-009	1.91361	2.81852	7.16303	5.3248
-0.14	-0.45	0.471275	7.93625e-008	4.99602e-009	15.885	12.0099	18.9321	15.964
0.69	0.09	0.695845	1.87687e-008	6.74436e-009	2.78286	4.44491	8.91186	7.9872
-0.34	-0.86	0.92477	6.55247e-009	1.024e-008	0.639886	-1.93898	3.31312	2.6624
-0.08	0.47	0.47676	7.60363e-008	5.04362e-009	15.0756	11.7828	18.603	15.964
-0.29	0.74	0.794796	1.14759e-008	8.01018e-009	1.43265	1.56141	5.9546	5.3248
0.28	-0.82	0.866487	8.33701e-009	9.41661e-009	0.885348	-0.528862	4.24743	3.9936
0.54	0.07	0.544518	4.65034e-008	5.43647e-009	8.5539	9.32164	15.1176	11.9808
-0.11	0.28	0.300832	4.17763e-007	4.27969e-009	97.6145	19.8951	30.753	19.968
0.31	0.42	0.522015	5.43628e-008	5.28464e-009	10.2869	10.1228	16.2341	15.964
0.26	0.85	0.888876	7.58609e-009	1.01348e-008	0.748514	-1.258	3.74274	2.6624
-0.1	-0.52	0.529528	5.15633e-008	5.38383e-009	9.57738	9.81247	15.7992	11.9808
-0.46	-0.67	0.812712	1.05673e-008	8.07977e-009	1.30787	1.16564	5.60189	5.3248
0.6	0.39	0.715612	1.69209e-008	7.47941e-009	2.26232	3.54554	7.92024	5.3248
0.41	-0.73	0.837257	9.46568e-009	8.32888e-009	1.13648	0.555629	5.08503	3.9936
-0.5	0.65	0.820061	1.02211e-008	8.32511e-009	1.22774	0.891071	5.3652	5.3248
-0.82	0.07	0.822982	1.00875e-008	8.23563e-009	1.22486	0.880862	5.35653	5.3248
0.65	0.2	0.680074	2.04302e-008	6.78338e-009	3.01179	4.78825	9.30543	7.9872
0.63	-0.26	0.681542	2.02678e-008	6.91027e-009	2.93298	4.67309	9.17253	7.9872
0.17	0.42	0.4531	9.17932e-008	4.89058e-009	18.7692	12.7345	19.9884	19.968
-0.05	-0.18	0.186815	2.43502e-006	4.01387e-009	606.647	27.8294	42.9329	19.968
0.62	0.22	0.657875	2.30993e-008	6.566e-009	3.51799	5.46295	10.1014	7.9872
-0.18	0.75	0.771298	1.28236e-008	8.0848e-009	1.58612	2.00337	6.36439	5.3248
-0.2	-0.41	0.45618	8.95214e-008	4.90261e-009	18.2598	12.615	19.8135	15.964
-0.4	-0.67	0.78032	1.22834e-008	7.60208e-009	1.61579	2.08385	6.44079	5.3248
-0.38	0.85	0.931075	6.3898e-009	1.00364e-008	0.636661	-1.96092	3.29994	2.6624
0.36	-0.85	0.923093	6.59664e-009	1.00214e-008	0.658253	-1.81607	3.38773	2.6624
0.43	0.31	0.530094	5.13598e-008	5.40516e-009	9.50193	9.77812	15.7513	11.9808
0.19	0.82	0.841724	9.28114e-009	9.52517e-009	0.974377	-0.112731	4.55649	3.9936
-0.27	0.28	0.388973	1.61446e-007	4.59593e-009	35.1278	15.4565	24.027	19.968
0.76	-0.19	0.78339	1.21063e-008	8.14619e-009	1.48612	1.72055	6.10024	5.3248
-0.4	0.45	0.60208	3.20634e-008	5.90341e-009	5.43131	7.34905	12.4666	11.9808
-0.26	-0.11	0.282312	5.28484e-007	4.22768e-009	125.005	20.9693	32.3948	19.968
